,hierid,T_mean
0,CAN.1.2.28,2.1825484656433503
1,CAN.1.17.403,2.8421024589336525
2,CAN.2.34.951,2.9207382501144252
3,CAN.11.259.4274,-3.536013957641984
4,CAN.11.269.4448,-3.59063182754302
5,CAN.2.34.941,5.227602989501652
6,CAN.8.117.2357,-14.36566331976378
7,CAN.6.98.2246,-10.950880209511034
8,CAN.8.118.2365,-10.744167347827979
9,CAN.8.117.2356,-9.780544101064152
10,CAN.8.117.2347,-14.860879205422414
11,CAN.6.98.2244,-4.050134318107193
12,CAN.6.98.2238,-4.799282988692407
13,CAN.6.98.2249,-3.8709959350802876
14,CAN.8.118.2362,-10.487938435332467
15,CAN.2.42.1074,9.841765334475326
16,CAN.3.67.1518,3.125723920812959
17,CAN.3.68.1522,3.0619185020251507
18,CAN.3.63.1456,-6.245050605059873
19,CAN.3.63.1455,-5.22675639657831
20,CAN.1.8.195,0.3064240192617831
21,CAN.2.41.1071,2.414242451344478
22,CAN.1.11.263,2.2937927263260462
23,CAN.2.34.948,2.2683430168483483
24,CAN.1.11.272,3.3005242317125862
25,CAN.2.34.926,2.2683430168483483
26,CAN.2.43.1085,7.495776391438284
27,CAN.2.45.1141,-1.164285943483378
28,CAN.2.43.1089,6.900620184919728
29,CAN.1.10.260,3.1221574797363587
30,CAN.1.14.328,3.858505230327296
31,CAN.3.58.1374,1.547169108569733
32,CAN.1.11.275,2.811307792908508
33,CAN.3.61.1429,-0.3981965209478915
34,CAN.9.139.2572,-3.870998287613986
35,CAN.1.17.415,2.795122361109236
36,CAN.11.248.4090,0.6412592316158657
37,CAN.1.7.171,-2.0295901809218435
38,CAN.2.36.989,7.583130672481104
39,CAN.1.12.289,5.471025924012224
40,CAN.1.2.15,3.1581912382932558
41,CAN.1.17.385,3.063664082024559
42,CAN.6.97.2224,-1.743112743140557
43,CAN.13.293.5568,-4.854856107915111
44,CAN.6.97.2222,-1.4170186379897984
45,CAN.6.97.2221,-1.4061334645979855
46,CAN.2.39.1032,-2.5845509648840785
47,CAN.3.58.1372,2.9472465997537256
48,CAN.2.34.954,-0.2595344211013071
49,CAN.2.34.953,-0.2595344211013071
50,CAN.2.34.928,-0.2595344211013071
51,CAN.2.34.952,0.8645767528360173
52,CAN.3.62.1431,-0.4693569010698866
53,CAN.3.62.1448,-0.8209195359673913
54,CAN.6.98.2241,-10.562020505463991
55,CAN.8.117.2349,-12.583411554778209
56,CAN.8.119.2375,-13.909995893431244
57,CAN.6.98.2248,-8.653932183812685
58,CAN.8.117.2352,-12.498205136996205
59,CAN.3.63.1467,-2.8024680746784156
60,CAN.3.61.1417,0.2870791347148156
61,CAN.3.56.1341,1.7783290691230604
62,CAN.8.117.2350,-13.151037941529026
63,CAN.8.117.2359,-13.935120953259295
64,CAN.6.98.2242,-10.74394017033295
65,CAN.8.117.2355,-16.217580900216817
66,CAN.8.117.2346,-15.146614168136818
67,CAN.6.98.2245,-9.894696093389939
68,CAN.8.119.2370,-12.550533328080084
69,CAN.8.119.2372,-12.385344467647863
70,CAN.8.117.2351,-12.050499155183255
71,CAN.8.119.2371,-12.230646775164018
72,CAN.8.119.2373,-12.475559647679347
73,CAN.6.98.2243,-7.177764342902265
74,CAN.6.98.2236,-7.531199594618585
75,CAN.8.119.2374,-10.048838805941799
76,CAN.8.119.2376,-10.627500928240684
77,CAN.8.117.2358,-10.784065966317371
78,CAN.13.293.5574,-7.5926407170465495
79,CAN.6.98.2240,-6.894387544526779
80,CAN.6.98.2247,-6.764435935927196
81,CAN.6.98.2237,-7.32596573161581
82,CAN.8.119.2369,-10.556390892339778
83,CAN.8.118.2367,-11.82010477630871
84,CAN.6.98.2239,-4.78870521303638
85,CAN.8.117.2348,-7.9651503119357585
86,CAN.8.118.2364,-9.690498521478304
87,CAN.6.97.2232,-6.357873415849468
88,CAN.6.97.2228,-5.102620251264852
89,CAN.13.293.5561,-3.775922990994559
90,CAN.13.293.5567,-4.113269264793104
91,CAN.8.117.2353,-8.650395149406862
92,CAN.13.293.5571,-3.3158097464911407
93,CAN.13.293.5577,-2.5405205057010676
94,CAN.8.118.2363,-9.6060119790058
95,CAN.6.97.2234,-3.673879489580571
96,CAN.6.97.2233,-3.9737499016691515
97,CAN.6.97.2227,-3.785737761556817
98,CAN.8.118.2366,-9.689543392799237
99,CAN.13.293.5575,-1.1957487290769677
100,CAN.8.117.2354,-7.861845852463034
101,CAN.6.97.2235,-4.007103340173065
102,CAN.6.97.2213,-4.137874414675252
103,CAN.11.259.4265,-7.873857889492854
104,CAN.6.97.2225,-4.593771918802986
105,CAN.13.293.5555,-4.1980710467805125
106,CAN.8.118.2368,-9.098733727529657
107,CAN.13.293.5563,-3.5532101947507804
108,CAN.11.259.4255,-6.231106935972234
109,CAN.13.293.5559,-1.8453773827216366
110,CAN.13.293.5576,-3.530185163331661
111,CAN.6.97.2218,-2.0395766864433114
112,CAN.6.97.2223,-1.8084614240302415
113,CAN.6.97.2216,-2.0083938523590255
114,CAN.13.293.5556,-5.743052850708523
115,CAN.13.293.5562,-7.348727671350332
116,CAN.6.97.2217,-1.9475545080494272
117,CAN.2.34.944,3.8992322935989705
118,CAN.1.16.364,3.2312726974280395
119,CAN.2.36.981,7.9175009911595
120,CAN.1.13.321,3.266537177467626
121,CAN.1.15.348,5.613758848158966
122,CAN.8.118.2361,-8.27374313477562
123,CAN.6.97.2226,-2.461131903738604
124,CAN.13.293.5588,-1.9959310698735977
125,CAN.13.293.5564,-3.6115538144844663
126,CAN.13.293.5560,-2.542663663894075
127,CAN.6.97.2214,-1.2593706502371873
128,CAN.1.8.200,-0.7295272858549781
129,CAN.2.45.1148,-0.16355575154449298
130,CAN.3.63.1465,-2.0709704643820808
131,CAN.2.43.1090,7.472012664439849
132,CAN.2.41.1058,2.6619301373491027
133,CAN.1.11.284,2.517899790871354
134,CAN.3.63.1466,-0.9002622635230466
135,CAN.1.11.279,2.6161510079742243
136,CAN.2.34.946,4.072279966898066
137,CAN.3.61.1422,0.8338903033607039
138,CAN.9.139.2542,0.7353003214061005
139,CAN.1.15.357,4.12914541129544
140,CAN.9.124.2443,0.4006354655093901
141,CAN.1.17.397,3.253598242162923
142,CAN.2.30.774,4.253299200611565
143,CAN.13.293.5566,-1.788607608027803
144,CAN.6.97.2231,-1.2696818054080552
145,CAN.13.293.5579,-0.9442989496103374
146,CAN.6.97.2215,-0.7890544671127202
147,CAN.13.293.5558,-1.966848107362324
148,CAN.13.293.5557,-1.5743419760930806
149,CAN.13.293.5583,-0.8665398693183874
150,CAN.13.293.5584,-0.8665398693183874
151,CAN.11.259.4282,-6.653685707319738
152,CAN.6.97.2220,-1.290229618849973
153,CAN.13.293.5586,-0.9389508563507434
154,CAN.11.259.4270,-6.963046240321006
155,CAN.13.293.5585,-0.8665398693183874
156,CAN.13.293.5578,-3.3708166892720897
157,CAN.2.45.1142,-0.7051607631304933
158,CAN.2.45.1143,-2.589761388403417
159,CAN.2.39.1028,0.13464985086811035
160,CAN.2.39.1029,-0.026850018716004342
161,CAN.1.8.181,-0.09960447566751895
162,CAN.3.63.1463,-4.069048688988715
163,CAN.3.63.1454,-3.16491353043412
164,CAN.2.34.943,-1.9131868138532582
165,CAN.2.41.1062,-1.9398410205811842
166,CAN.2.39.1030,1.2244861772724107
167,CAN.2.39.1033,-0.4358662314336357
168,CAN.3.63.1468,-2.912020863636485
169,CAN.2.41.1056,1.8540900641324356
170,CAN.8.117.2360,-4.757858791269939
171,CAN.2.41.1059,1.9543221146040253
172,CAN.3.63.1464,-2.0922334480662457
173,CAN.11.259.4290,-4.259467471068035
174,CAN.2.41.1063,1.4034669405418754
175,CAN.3.63.1458,-3.334662951497137
176,CAN.1.8.199,1.0709880589516843
177,CAN.1.8.198,1.0709880589516843
178,CAN.2.41.1061,2.243046222060798
179,CAN.1.11.278,2.1373068902170473
180,CAN.3.62.1449,-2.7729837699192217
181,CAN.1.8.201,1.5170190367763325
182,CAN.2.41.1057,1.1959170081194657
183,CAN.1.11.281,2.7163171875023977
184,CAN.2.31.791,4.833813943192979
185,CAN.1.6.165,2.593498461056271
186,CAN.1.2.34,2.726400146905121
187,CAN.1.17.394,2.707819835807129
188,CAN.3.58.1388,2.0077575648786876
189,CAN.3.63.1461,-1.3625339576883562
190,CAN.1.11.273,2.2937927263260462
191,CAN.3.62.1453,-2.6006771447330834
192,CAN.3.62.1440,-2.6413712725331493
193,CAN.1.11.268,2.302760584759085
194,CAN.9.139.2550,-4.601568215457462
195,CAN.1.2.39,2.8216683512869736
196,CAN.1.19.446,-2.0119367680985647
197,CAN.1.19.451,3.146492088244088
198,CAN.1.17.408,2.9579223976466835
199,CAN.3.62.1442,-1.7664498773627315
200,CAN.1.11.270,2.809195217653155
201,CAN.3.62.1451,-1.6325954153685132
202,CAN.2.31.801,3.047102244834207
203,CAN.3.62.1447,-1.2042790162433334
204,CAN.3.69.1543,3.3707826504172544
205,CAN.1.16.374,4.378942143754557
206,CAN.11.269.4453,1.725723727165059
207,CAN.1.11.269,3.0490924883374646
208,CAN.1.11.265,3.0490924883374646
209,CAN.2.41.1070,2.6449366102266936
210,CAN.1.11.276,3.0274821138447123
211,CAN.1.10.258,1.854501128633464
212,CAN.3.61.1416,0.27969482737240525
213,CAN.1.2.25,2.1547203446036747
214,CAN.1.2.30,2.423031517217055
215,CAN.2.31.800,-0.571419222753434
216,CAN.2.43.1095,7.8798039912823015
217,CAN.9.167.2898,2.691248588483006
218,CAN.1.16.376,3.2312726974280395
219,CAN.3.57.1370,3.0256800730370514
220,CAN.2.30.783,-0.18795623099555314
221,CAN.1.15.347,4.12914541129544
222,CAN.3.55.1324,1.6662308387103053
223,CAN.1.7.173,1.0716914665254933
224,CAN.2.31.799,2.150126630481376
225,CAN.2.34.932,2.9207382501144252
226,CAN.2.34.923,1.6649181249101161
227,CAN.1.11.262,3.0935130295057434
228,CAN.1.11.285,3.1178711633501166
229,CAN.2.34.925,1.5664928203140107
230,CAN.1.10.259,3.1249875777676266
231,CAN.1.10.261,3.1221574797363587
232,CAN.2.34.921,4.784229590571158
233,CAN.3.62.1439,-1.4960590649660617
234,CAN.11.269.4452,-4.1898371788590225
235,CAN.3.61.1421,0.26385727464310094
236,CAN.9.139.2541,-1.1480746338132235
237,CAN.3.61.1415,1.3982584309485446
238,CAN.9.139.2581,0.03274436476385745
239,CAN.3.60.1407,0.9278562496477636
240,CAN.2.43.1094,8.720941826372302
241,CAN.1.17.404,2.987390234669874
242,CAN.9.139.2543,0.5319355464212663
243,CAN.2.24.654,3.433811733087154
244,CAN.3.56.1352,2.8572763012456335
245,CAN.1.14.331,3.431191010554244
246,CAN.1.15.338,4.266503580134478
247,CAN.3.62.1438,-1.0316689142111102
248,CAN.1.10.256,2.755463348133162
249,CAN.2.31.803,4.78791483459942
250,CAN.2.34.933,5.59336708611869
251,CAN.3.62.1446,0.09524412735322585
252,CAN.9.139.2579,-0.9762620407025793
253,CAN.1.10.257,-1.6597389491045078
254,CAN.3.62.1437,-0.38168738051268747
255,CAN.1.2.8,2.600558414665045
256,CAN.9.139.2593,-1.3599885162338978
257,CAN.1.2.47,2.5100423283408873
258,CAN.3.61.1428,1.1409006552034384
259,CAN.1.2.13,2.8309326289651153
260,CAN.1.2.27,2.8309326289651153
261,CAN.2.43.1083,8.34727596117338
262,CAN.1.2.42,2.547565240724225
263,CAN.2.34.938,5.623756920304607
264,CAN.2.43.1093,8.303329496105459
265,CAN.2.43.1088,8.05774493466032
266,CAN.3.61.1423,0.9219644597131946
267,CAN.1.3.67,3.3117293496863454
268,CAN.1.2.31,2.1348743703796913
269,CAN.1.2.43,2.7361796294617307
270,CAN.1.7.175,-2.519071447804337
271,CAN.9.139.2594,-0.832329324372779
272,CAN.1.6.166,0.2920453333379669
273,CAN.2.43.1084,7.8632656794293325
274,CAN.9.139.2567,-0.4205794675048651
275,CAN.11.259.4256,-1.39566979303452
276,CAN.1.2.24,2.5744829312256456
277,CAN.1.2.40,2.801728275715618
278,CAN.3.58.1377,1.8155263516347218
279,CAN.1.2.45,2.3546715932016014
280,CAN.3.61.1419,1.1526233305897762
281,CAN.2.43.1096,7.978663730433747
282,CAN.1.2.22,2.874398041454299
283,CAN.3.61.1418,1.2868753707779206
284,CAN.1.2.46,2.736678366604451
285,CAN.9.139.2554,0.056689628945647996
286,CAN.9.139.2558,-0.5025276261240492
287,CAN.1.7.176,-2.346767511228149
288,CAN.9.139.2595,-0.32428242172174276
289,CAN.3.58.1387,1.060134644764858
290,CAN.9.139.2596,-0.9940142599405704
291,CAN.3.66.1497,3.0405716113059498
292,CAN.2.25.671,2.868737845391763
293,CAN.2.32.813,4.162814873492096
294,CAN.9.139.2600,-0.4186456848101443
295,CAN.2.28.734,6.633699830224828
296,CAN.3.53.1291,2.9758934025182384
297,CAN.9.139.2540,-1.089644754510914
298,CAN.1.2.10,3.136216221078371
299,CAN.1.17.392,3.136216221078371
300,CAN.1.2.36,3.276262551749255
301,CAN.2.31.804,-0.8458563931004051
302,CAN.9.139.2588,-0.5643992622173073
303,CAN.1.17.413,3.0672399332359532
304,CAN.1.17.410,2.9499520134991144
305,CAN.1.17.405,3.1882025105988987
306,CAN.1.17.389,2.8366586959709252
307,CAN.11.228.3809,-0.26970388512840415
308,CAN.1.17.400,3.111542847719136
309,CAN.1.17.401,3.249114312946233
310,CAN.2.24.653,1.0857675059094531
311,CAN.2.34.934,8.396853256194163
312,CAN.1.17.396,3.249114312946233
313,CAN.1.2.9,3.3511625194279873
314,CAN.1.17.393,3.3142324455342873
315,CAN.3.58.1389,1.6819739941755643
316,CAN.1.17.398,3.239864150470339
317,CAN.9.139.2569,0.4327386107742086
318,CAN.1.17.402,2.995558231647692
319,CAN.1.17.412,3.3284464541002308
320,CAN.3.57.1358,3.1735294638968625
321,CAN.9.139.2549,0.22592266886360335
322,CAN.2.27.699,2.571478745701171
323,CAN.1.16.367,4.176257251006916
324,CAN.3.64.1475,3.303307279069827
325,CAN.3.65.1491,3.0784897493496715
326,CAN.2.35.957,6.152841943627436
327,CAN.1.17.416,3.364557846268724
328,CAN.1.17.409,3.364557846268724
329,CAN.1.17.391,3.0820420752244218
330,CAN.3.58.1378,2.5388279305930723
331,CAN.1.15.354,4.624490200366552
332,CAN.1.12.293,5.471025924012224
333,CAN.2.36.970,7.360496294027087
334,CAN.1.17.384,3.2685556513750953
335,CAN.2.24.651,3.5767022769914263
336,CAN.3.58.1371,1.663610116177523
337,CAN.1.17.399,3.2435341030295035
338,CAN.11.248.4084,0.18984488431902338
339,CAN.3.60.1406,1.4647927888189543
340,CAN.1.17.388,3.241581500065479
341,CAN.9.124.2436,-1.0340920239135016
342,CAN.2.24.650,8.715367497789543
343,CAN.3.58.1384,1.3625516745748882
344,CAN.3.60.1413,1.535589937738905
345,CAN.9.139.2575,1.0210484737427805
346,CAN.3.58.1386,2.2573896199797523
347,CAN.1.19.448,3.1102395440537407
348,CAN.1.17.390,3.1964834291940747
349,CAN.3.60.1409,1.4647927888189543
350,CAN.1.17.386,3.39937534490673
351,CAN.3.58.1383,1.5057786307970105
352,CAN.1.14.329,3.129182145339996
353,CAN.1.14.336,3.258310367147459
354,CAN.3.58.1391,2.609587438974131
355,CAN.3.60.1408,1.2106033330646824
356,CAN.3.58.1376,2.2035448288426096
357,CAN.3.58.1382,2.159044301529491
358,CAN.3.60.1405,1.4416297420897308
359,CAN.11.269.4450,-0.34333721645991694
360,CAN.1.15.358,3.556995102254973
361,CAN.9.139.2574,1.1121715137598471
362,CAN.1.16.381,3.099427299206468
363,CAN.1.16.379,3.5908621772820766
364,CAN.3.58.1373,2.0711254124002494
365,CAN.3.58.1390,2.483374006410751
366,CAN.9.139.2566,0.45296804798977064
367,CAN.2.24.656,5.83873164510311
368,CAN.1.16.371,3.6129759939845485
369,CAN.1.15.350,4.13953420007806
370,CAN.1.15.343,3.681947576759967
371,CAN.1.16.366,3.6129759939845485
372,CAN.11.247.4082,0.14895872255433243
373,CAN.1.15.351,3.9148201818405823
374,CAN.3.58.1375,2.7597426069185786
375,CAN.9.139.2573,0.6672485793043137
376,CAN.3.56.1339,2.1555625516651844
377,CAN.1.14.337,3.622428474358003
378,CAN.1.15.340,4.521402173993351
379,CAN.1.15.344,4.088984524465313
380,CAN.3.57.1357,2.675304291386823
381,CAN.1.16.370,3.3228333087116084
382,CAN.1.16.363,4.31013523833775
383,CAN.1.14.332,3.8068294752536644
384,CAN.1.16.375,4.31013523833775
385,CAN.2.27.694,0.18422400917654613
386,CAN.1.16.362,3.6286736671319013
387,CAN.1.7.180,0.7377610716475829
388,CAN.9.139.2571,0.9036633159468769
389,CAN.9.124.2433,0.23219687621929097
390,CAN.1.7.179,0.1606346833428006
391,CAN.1.15.352,4.725846761942705
392,CAN.11.254.4201,1.6736930755803883
393,CAN.1.16.368,2.4242924752757062
394,CAN.1.7.169,-1.716886697544794
395,CAN.9.139.2577,1.7992327424945187
396,CAN.3.58.1381,2.741054079271237
397,CAN.1.16.365,3.8286647519672896
398,CAN.9.139.2587,1.3394403835867479
399,CAN.3.56.1343,1.52123948221913
400,CAN.3.56.1335,2.0398978801756584
401,CAN.9.167.2897,0.9895927457503433
402,CAN.1.15.356,4.645855911355284
403,CAN.3.56.1350,2.598972806957022
404,CAN.3.57.1367,2.656100558860885
405,CAN.1.14.330,4.885724951635325
406,CAN.2.36.979,8.75807068936291
407,CAN.3.57.1353,2.6537539065034252
408,CAN.2.36.978,8.409029970582594
409,CAN.2.42.1075,5.282346531054351
410,CAN.9.139.2546,2.1216540720455215
411,CAN.1.12.288,4.909814896639034
