,ISO3,gbd_level3_mor,UN_M49_level1,IMAGE26,continents,gbd_location_id
0,DZA,Algeria,Africa,NAF,Africa,139
1,DZA,Algeria,Africa,NAF,Africa,139
2,DZA,Algeria,Africa,NAF,Africa,139
3,DZA,Algeria,Africa,NAF,Africa,139
4,DZA,Algeria,Africa,NAF,Africa,139
5,DZA,Algeria,Africa,NAF,Africa,139
6,DZA,Algeria,Africa,NAF,Africa,139
7,DZA,Algeria,Africa,NAF,Africa,139
8,EGY,Egypt,Africa,NAF,Africa,141
9,EGY,Egypt,Africa,NAF,Africa,141
10,EGY,Egypt,Africa,NAF,Africa,141
11,EGY,Egypt,Africa,NAF,Africa,141
12,EGY,Egypt,Africa,NAF,Africa,141
13,EGY,Egypt,Africa,NAF,Africa,141
14,EGY,Egypt,Africa,NAF,Africa,141
15,EGY,Egypt,Africa,NAF,Africa,141
16,LBY,Libya,Africa,NAF,Africa,147
17,LBY,Libya,Africa,NAF,Africa,147
18,LBY,Libya,Africa,NAF,Africa,147
19,LBY,Libya,Africa,NAF,Africa,147
20,LBY,Libya,Africa,NAF,Africa,147
21,LBY,Libya,Africa,NAF,Africa,147
22,LBY,Libya,Africa,NAF,Africa,147
23,LBY,Libya,Africa,NAF,Africa,147
24,MAR,Morocco,Africa,NAF,Africa,148
25,MAR,Morocco,Africa,NAF,Africa,148
26,MAR,Morocco,Africa,NAF,Africa,148
27,MAR,Morocco,Africa,NAF,Africa,148
28,MAR,Morocco,Africa,NAF,Africa,148
29,MAR,Morocco,Africa,NAF,Africa,148
30,MAR,Morocco,Africa,NAF,Africa,148
31,MAR,Morocco,Africa,NAF,Africa,148
32,SDN,Sudan,Africa,EAF,Africa,522
33,SDN,Sudan,Africa,EAF,Africa,522
34,SDN,Sudan,Africa,EAF,Africa,522
35,SDN,Sudan,Africa,EAF,Africa,522
36,SDN,Sudan,Africa,EAF,Africa,522
37,SDN,Sudan,Africa,EAF,Africa,522
38,SDN,Sudan,Africa,EAF,Africa,522
39,SDN,Sudan,Africa,EAF,Africa,522
40,SDN,Sudan,Africa,EAF,Africa,522
41,TUN,Tunisia,Africa,NAF,Africa,154
42,TUN,Tunisia,Africa,NAF,Africa,154
43,TUN,Tunisia,Africa,NAF,Africa,154
44,TUN,Tunisia,Africa,NAF,Africa,154
45,TUN,Tunisia,Africa,NAF,Africa,154
46,TUN,Tunisia,Africa,NAF,Africa,154
47,TUN,Tunisia,Africa,NAF,Africa,154
48,TUN,Tunisia,Africa,NAF,Africa,154
49,MUS,Mauritius,Africa,EAF,Africa,183
50,MUS,Mauritius,Africa,EAF,Africa,183
51,MUS,Mauritius,Africa,EAF,Africa,183
52,MUS,Mauritius,Africa,EAF,Africa,183
53,MUS,Mauritius,Africa,EAF,Africa,183
54,MUS,Mauritius,Africa,EAF,Africa,183
55,MUS,Mauritius,Africa,EAF,Africa,183
56,SYC,Seychelles,Africa,EAF,Africa,186
57,SYC,Seychelles,Africa,EAF,Africa,186
58,SYC,Seychelles,Africa,EAF,Africa,186
59,SYC,Seychelles,Africa,EAF,Africa,186
60,SYC,Seychelles,Africa,EAF,Africa,186
61,SYC,Seychelles,Africa,EAF,Africa,186
62,SYC,Seychelles,Africa,EAF,Africa,186
63,AGO,Angola,Africa,RSAF,Africa,168
64,AGO,Angola,Africa,RSAF,Africa,168
65,AGO,Angola,Africa,RSAF,Africa,168
66,AGO,Angola,Africa,RSAF,Africa,168
67,AGO,Angola,Africa,RSAF,Africa,168
68,AGO,Angola,Africa,RSAF,Africa,168
69,CAF,Central African Republic,Africa,WAF,Africa,169
70,CAF,Central African Republic,Africa,WAF,Africa,169
71,CAF,Central African Republic,Africa,WAF,Africa,169
72,CAF,Central African Republic,Africa,WAF,Africa,169
73,CAF,Central African Republic,Africa,WAF,Africa,169
74,CAF,Central African Republic,Africa,WAF,Africa,169
75,CAF,Central African Republic,Africa,WAF,Africa,169
76,COG,Congo,Africa,WAF,Africa,170
77,COG,Congo,Africa,WAF,Africa,170
78,COG,Congo,Africa,WAF,Africa,170
79,COG,Congo,Africa,WAF,Africa,170
80,COG,Congo,Africa,WAF,Africa,170
81,COG,Congo,Africa,WAF,Africa,170
82,COD,Democratic Republic of the Congo,Africa,WAF,Africa,171
83,COD,Democratic Republic of the Congo,Africa,WAF,Africa,171
84,COD,Democratic Republic of the Congo,Africa,WAF,Africa,171
85,COD,Democratic Republic of the Congo,Africa,WAF,Africa,171
86,COD,Democratic Republic of the Congo,Africa,WAF,Africa,171
87,COD,Democratic Republic of the Congo,Africa,WAF,Africa,171
88,GNQ,Equatorial Guinea,Africa,WAF,Africa,172
